Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes,Sentiment,Text
Sales Promoter,Delhi,,,8 May 2020,4.0,4.0,5.0,3.0,4.0,4.0,3.0,they given us the instructions that what kind of preceution we should take in this pendamic as well as they given the mask and senitizer for our personal usethey said us as long your store is not opening you need not go anywhere stay home stay safe,"usually they are always ready to give wornings to their staff although  which can be resolve easily by talking with staff 
if any problem comes from store then seniors are not able to resolve the matter they always they covered down by store that is the reason there is no value of philips  staff in store although philips is only the brand which provide 5 to 6 staff only in one store",1,"they given us the instructions that what kind of preceution we should take in this pendamic as well as they given the mask and senitizer for our personal usethey said us as long your store is not opening you need not go anywhere stay home stay safe usually they are always ready to give wornings to their staff although  which can be resolve easily by talking with staff 
if any problem comes from store then seniors are not able to resolve the matter they always they covered down by store that is the reason there is no value of philips  staff in store although philips is only the brand which provide 5 to 6 staff only in one store"
Sales Executive,Thane,,Airpurifier  Department,7 May 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,company policies are good and they give good salary and bonus,nothing,1,company policies are good and they give good salary and bonus nothing
Apprentice Engineer,"New Delhi, Delhi",,,4 Nov 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,very nice company i enjoyed my job,project plans should improve,1,very nice company i enjoyed my job project plans should improve
Key Account Manager,Mumbai,,Enterprise & B2B Sales Department,8 May 2021,5.0,4.0,4.0,5.0,3.0,4.0,3.0,work structure and environment is good followed with high performance culture and sustainibility is carried on either perform or perish criteria  flexi timings helps to maintain balanced life between professional and personal behaviour,lack of support from seniors  top management internal dirty politics played at these level makes you feel demotivated to perform which also creates mental harassment further  you need to wonder whether your job is safe or some announcement is coming on the way,1,work structure and environment is good followed with high performance culture and sustainibility is carried on either perform or perish criteria  flexi timings helps to maintain balanced life between professional and personal behaviour lack of support from seniors  top management internal dirty politics played at these level makes you feel demotivated to perform which also creates mental harassment further  you need to wonder whether your job is safe or some announcement is coming on the way
Senior Accounting Specialist,Ramanujam IT City,,,3 Jun 2022,4.0,3.0,4.0,5.0,4.0,5.0,4.0,compensation is the best great employee benefits meal coupons cab facility telephone internet reimbursement etc work environment is good,work pressure again depends on the team,1,compensation is the best great employee benefits meal coupons cab facility telephone internet reimbursement etc work environment is good work pressure again depends on the team
Software Developer,Bengaluru/Bangalore,,Software Development Department,4 Oct 2021,4.0,5.0,4.0,4.0,5.0,4.0,3.0,great work culture,career growth,1,great work culture career growth
Branch Service Head ( Dy. Manager),Ahmedabad,,Operations Department,0 Dec 2020,2.0,1.0,3.0,1.0,1.0,1.0,1.0,company culture and ethics has been bad to worst day by day due to very poor leadership quality ,in business operation auditplanning  team building devlopment ,-1,company culture and ethics has been bad to worst day by day due to very poor leadership quality  in business operation auditplanning  team building devlopment 
Senior Technical Specialist,Bangalore Rural,,Software Development Department,6 Jun 2021,4.0,5.0,5.0,4.0,5.0,4.0,4.0,work culture benefits,pay is less,1,work culture benefits pay is less
Senior Accounting Specialist,Chennai,Full Time,Accounting & Taxation Department,3 Apr 2021,5.0,1.0,5.0,3.0,1.0,5.0,3.0,organization is very good,heavy work load,1,organization is very good heavy work load
Isp,Okhla Industrial Area Phaze 1 Delhi,Full Time,Counter Sale Department,1 Mar 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"good work enviroment
vood salaryand bonus every year",salary is decent butcareer growth is slow,1,"good work enviroment
vood salaryand bonus every year salary is decent butcareer growth is slow"
Software Developer,"Bengaluru/Bangalore, Karnataka",Full Time,IT Infrastructure Services Department,1 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,work life balance,promotion cycle,1,work life balance promotion cycle
It Delivery Manager,Bangalore,Full Time,,9 May 2021,5.0,4.0,5.0,4.0,4.0,4.0,3.0,job satisfaction,politics,1,job satisfaction politics
Field Service Engineer  MRI,Hyderabad/Secunderabad,Full Time,Customer Support Department,8 May 2021,5.0,4.0,5.0,5.0,5.0,5.0,5.0,philips itself tells about company work culture ,everything,1,philips itself tells about company work culture  everything
Assistant Project Manager,Pune,,Project Management Office Department,2 Apr 2021,5.0,3.0,4.0,4.0,5.0,3.0,3.0,great to work,everything,1,great to work everything
Sr. Graphics Visulizer,Chennai,,,9 Mar 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,nothing as of now,marketing,1,nothing as of now marketing
Area Sales Manager,Meerut,,Enterprise & B2B Sales Department,2 Apr 2021,4.0,4.0,4.0,5.0,5.0,5.0,3.0,nothing,work culture,1,nothing work culture
Office Assistant,Ahmedabad,,Bcg Department,7 Sep 2021,2.0,5.0,5.0,5.0,5.0,5.0,5.0,,,-1, 
IT Business Analyst/Project Manager -IT,Bangalore,,Technology / IT Department,7 May 2021,5.0,5.0,5.0,3.0,5.0,5.0,3.0,,,1, 
Software Technologist 2,Bangalore,Full Time,Software Development Department,2 Feb 2022,4.0,4.0,4.0,4.0,4.0,4.0,4.0,good,nothing for now,1,good nothing for now
Sales Executive,Gurgaon,Full Time,Retail & B2C Sales Department,2 Jan 2021,4.0,5.0,4.0,4.0,5.0,4.0,2.0,work life balance policies are employee friendly work is ownership driven,poor growth opportunities,1,work life balance policies are employee friendly work is ownership driven poor growth opportunities
Sales Officer,Pilibhit,,,4 Dec 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,because i want to switch in core electronics domain not in it oriented software engineering job,no any dislike opinion,1,because i want to switch in core electronics domain not in it oriented software engineering job no any dislike opinion
Calibration Engineer,Bengaluru/Bangalore,,Engineering & Manufacturing Department,2 Jun 2023,4.0,5.0,5.0,5.0,5.0,5.0,5.0,good learning place,"too much internal politics 
no work life balance",1,"good learning place too much internal politics 
no work life balance"
Service Innovation Engineer,Pimpri,,Engineering & Manufacturing Department,0 Sep 2022,3.0,3.0,4.0,4.0,4.0,4.0,4.0,situation is horrible now ,horrible,0,situation is horrible now  horrible
Field Service Engineer,Pune West,,"Operations, Maintenance & Support Department",6 Oct 2022,1.0,2.0,4.0,3.0,4.0,5.0,2.0,overall good,good,-1,overall good good
Service Advisor,Patna,,Isd Department,1 Apr 2022,5.0,2.0,1.0,1.0,2.0,1.0,1.0,great leadership very transparent and friendlywork life balance is good,nothing,1,great leadership very transparent and friendlywork life balance is good nothing
Talent Acquisition,Bengaluru,,,0 Mar 2021,5.0,5.0,5.0,5.0,5.0,5.0,4.0,everything,great company to work for,1,everything great company to work for
"Architect PLM Windchill, ECM",Manyata Tech Park,,IT Consulting Department,8 Dec 2019,1.0,5.0,5.0,5.0,5.0,5.0,5.0,"finance systems are outdated
slow career growth",,-1,"finance systems are outdated
slow career growth "
Manager/sr Manager - Facility Management,Chennai,,,0 Mar 2021,5.0,2.0,2.0,2.0,1.0,2.0,1.0,,,1, 
,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,-1, 
Software Technologist,Bangalore,Intern,Quality Assurance and Testing Department,1 Apr 2021,5.0,5.0,5.0,5.0,4.0,4.0,3.0,company policies,great facilities work from home culture,1,company policies great facilities work from home culture
Sales,Kolkata,,,6 Jan 2021,1.0,3.0,5.0,3.0,3.0,1.0,2.0,cheap politics by some managers you need a god father to survive management knowingly ignores if you raise voice few political people run the organization and hr never supports,everything,-1,cheap politics by some managers you need a god father to survive management knowingly ignores if you raise voice few political people run the organization and hr never supports everything
Manager,Gurgaon,,Service Delivery Department,5 Aug 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,nothing,work culture,1,nothing work culture
Senior Test Engineer,Bangalore Rural,,Quality Assurance and Testing Department,9 Apr 2021,5.0,5.0,4.0,5.0,5.0,5.0,4.0,the quality of work,support by my managers and colleagues,1,the quality of work support by my managers and colleagues
Senior Manager,Gurugram,,SCM & Logistics Department,1 Mar 2022,4.0,4.0,4.0,4.0,4.0,3.0,4.0,culture of pulling people down is what sometimes discourages me,strategy employee friendly work environment and governance,1,culture of pulling people down is what sometimes discourages me strategy employee friendly work environment and governance
Project Manager,Chennai,,Technology / IT Department,1 Nov 2020,5.0,3.0,5.0,4.0,4.0,5.0,5.0,work life balance has deteriorated during the pandemic wfh situation,this company is very stable to anythore places,1,work life balance has deteriorated during the pandemic wfh situation this company is very stable to anythore places
Michenical,New Delhi,,,1 Apr 2021,2.0,3.0,1.0,4.0,3.0,4.0,4.0,nothing,no likes,-1,nothing no likes
Senior Reporting Specialist,Chennai,,Accounting & Taxation Department,6 Jul 2020,3.0,3.0,2.0,3.0,3.0,2.0,2.0,there are lot of politics in the organisation the support which we get from managers is worst even they will not help for your career growth worst it team many softwares and tools poor level of standardisation many things to improve poor accounting quality and review mechanism,good environment with support system management and best place for fresher to learn and implement new things,0,there are lot of politics in the organisation the support which we get from managers is worst even they will not help for your career growth worst it team many softwares and tools poor level of standardisation many things to improve poor accounting quality and review mechanism good environment with support system management and best place for fresher to learn and implement new things
Intern,Manipal,,,9 Apr 2021,5.0,5.0,5.0,4.0,5.0,5.0,4.0,nothing much about negativitypersonally it has given me a comfort zone,flexible company policies and flexible timings,1,nothing much about negativitypersonally it has given me a comfort zone flexible company policies and flexible timings
Revenue Manager,Gurgaon,,Marketing Department,5 Dec 2020,3.0,3.0,4.0,3.0,4.0,4.0,3.0,less worklife balance,,0,less worklife balance 
Sales,Delhi NCR,Full Time,,0 Apr 2021,4.0,4.0,4.0,2.0,4.0,4.0,3.0,"good culture 
better work life balance","salary is not per industry 
company us slow in decision making",1,"good culture 
better work life balance salary is not per industry 
company us slow in decision making"
Regional Manager,Kolkata,Full Time,Retail & B2C Sales Department,5 Dec 2020,4.0,4.0,4.0,4.0,4.0,4.0,4.0,good work environment and culture policies are good,grate work,1,good work environment and culture policies are good grate work
Area Sales Manager,India,,Retail & B2C Sales Department,9 Apr 2022,5.0,5.0,5.0,5.0,4.0,5.0,5.0,targeat achived,culture is really good people are professional and supporting,1,targeat achived culture is really good people are professional and supporting
